,Games name,Platforms,Multiplatform,Reviewers,Unnamed: 3,Positive percent,Comment,Released,Day_since_release,Price,Discount,On_sale,Discounted price,Type,URL,All_tags
99,Age of Empires III: Definitive Edition,Win,0,36589.0,36589,82,Very Positive,"15 Oct, 2020",1078,0,100.0,1,0,Strategy,https://store.steampowered.com/app/933110/Age_of_Empires_III_Definitive_Edition/?snr=1_7_7_240_150_1,"Strategy, RTS, Base Building"
100,Old World,"Win, Mac, Linux",1,2237.0,2237,81,Very Positive,"18 May, 2022",498,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/597180/Old_World/?snr=1_7_7_240_150_2,"Strategy, Simulation, Grand Strategy"
101,Arma 3 Creator DLC: S.O.G. Prairie Fire,"Win, Mac",1,1851.0,1851,82,Very Positive,"6 May, 2021",875,"22,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/1227700/Arma_3_Creator_DLC_SOG_Prairie_Fire/?snr=1_7_7_240_150_2,"Simulation, Action, Strategy"
102,Pathfinder: Wrath of the Righteous - Enhanced Edition,"Win, Mac",1,23008.0,23008,82,Very Positive,"2 Sep, 2021",756,"59,98€",70.0,1,"17,99€",Choices Matter,https://store.steampowered.com/app/1184370/Pathfinder_Wrath_of_the_Righteous__Enhanced_Edition/?snr=1_7_7_240_150_2,"Choices Matter, Singleplayer, Isometric"
103,Kingdoms Reborn,Win,0,6350.0,6350,90,Very Positive,"15 Nov, 2020",1047,"18,99€",0.0,0,"18,99€",City Builder,https://store.steampowered.com/app/1307890/Kingdoms_Reborn/?snr=1_7_7_240_150_2,"City Builder, Base Building, Colony Sim"
104,Cookie Clicker,Win,0,47669.0,47669,97,Overwhelmingly Positive,"1 Sep, 2021",757,"3,99€",0.0,0,"3,99€",Clicker,https://store.steampowered.com/app/1454400/Cookie_Clicker/?snr=1_7_7_240_150_2,"Clicker, Idler, Casual"
105,Firestone: Online Idle RPG,"Win, Mac, Linux",1,4989.0,4989,79,Mostly Positive,"26 Sep, 2019",1463,0,100.0,1,0,Idler,https://store.steampowered.com/app/1013320/Firestone_Online_Idle_RPG/?snr=1_7_7_240_150_2,"Idler, Free to Play, RPG"
106,F1® Manager 2023,Win,0,754.0,754,71,Mostly Positive,"31 Jul, 2023",59,"54,99€",0.0,0,"54,99€",Simulation,https://store.steampowered.com/app/2287220/F1_Manager_2023/?snr=1_7_7_240_150_2,"Simulation, Strategy, Sports"
107,The Long Dark,"Win, Mac, Linux",1,86639.0,86639,91,Very Positive,"1 Aug, 2017",2249,"19,50€",0.0,0,"19,50€",Survival,https://store.steampowered.com/app/305620/The_Long_Dark/?snr=1_7_7_240_150_2,"Survival, Open World Survival Craft, Open World"
108,Stellaris: Galactic Paragons,"Win, Mac, Linux",1,761.0,0,0,,"9 May, 2023",142,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/2380030/Stellaris_Galactic_Paragons/?snr=1_7_7_240_150_2,"Strategy, Simulation, Grand Strategy"
109,Coromon,"Win, Mac",1,3617.0,3617,87,Very Positive,"31 Mar, 2022",546,"19,99€",100.0,1,0,Creature Collector,https://store.steampowered.com/app/1218210/Coromon/?snr=1_7_7_240_150_2,"Creature Collector, Turn-Based, Pixel Graphics"
110,Northgard,"Win, Mac, Linux",1,43587.0,43587,88,Very Positive,"7 Mar, 2018",2031,"27,99€",0.0,0,"27,99€",Strategy,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_240_150_2,"Strategy, City Builder, Simulation"
111,DCS World Steam Edition,Win,0,29335.0,29335,86,Very Positive,"2 Aug, 2013",3709,0,100.0,1,0,Simulation,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/?snr=1_7_7_240_150_2,"Simulation, Flight, Free to Play"
112,Total War: ROME REMASTERED,"Win, Mac, Linux",1,8827.0,8827,74,Mostly Positive,"29 Apr, 2021",882,"29,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/885970/Total_War_ROME_REMASTERED/?snr=1_7_7_240_150_2,"Strategy, Grand Strategy, Action"
113,Eternal Return,Win,0,50094.0,50094,78,Mostly Positive,"19 Jul, 2023",71,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/1049590/Eternal_Return/?snr=1_7_7_240_150_2,"Free to Play, Anime, Multiplayer"
114,Paladins®,"Win, Mac",1,339765.0,339765,85,Very Positive,"8 May, 2018",1969,0,100.0,1,0,Hero Shooter,https://store.steampowered.com/app/444090/Paladins/?snr=1_7_7_240_150_2,"Hero Shooter, Free to Play, Multiplayer"
115,The Isle,Win,0,64008.0,64008,83,Very Positive,"1 Dec, 2015",2858,"19,99€",0.0,0,"19,99€",Dinosaurs,https://store.steampowered.com/app/376210/The_Isle/?snr=1_7_7_240_150_2,"Dinosaurs, Survival, Open World"
116,Company of Heroes 2,"Win, Mac, Linux",1,61875.0,61875,80,Very Positive,"25 Jun, 2013",3747,"19,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/231430/Company_of_Heroes_2/?snr=1_7_7_240_150_2,"Strategy, World War II, RTS"
117,Anno 1800,Win,0,10106.0,10106,81,Very Positive,"15 Apr, 2019",1627,"59,99€",0.0,0,"59,99€",City Builder,https://store.steampowered.com/app/916440/Anno_1800/?snr=1_7_7_240_150_2,"City Builder, Strategy, Simulation"
118,Arma 3 Contact,"Win, Mac",1,1570.0,0,0,,"25 Jul, 2019",1526,"24,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/1021790/Arma_3_Contact/?snr=1_7_7_240_150_2,"Simulation, Strategy, Action"
119,PlateUp!,Win,0,10300.0,10300,95,Overwhelmingly Positive,"4 Aug, 2022",420,"19,50€",0.0,0,"19,50€",Co-op,https://store.steampowered.com/app/1599600/PlateUp/?snr=1_7_7_240_150_2,"Co-op, Management, Cooking"
120,Foundation,Win,0,12845.0,12845,86,Very Positive,"1 Feb, 2019",1700,"29,99€",100.0,1,0,City Builder,https://store.steampowered.com/app/690830/Foundation/?snr=1_7_7_240_150_2,"City Builder, Strategy, Simulation"
121,Dragon Age: Origins - Ultimate Edition,Win,0,19410.0,19410,89,Very Positive,"26 Oct, 2010",4720,"29,99€",100.0,1,0,RPG,https://store.steampowered.com/app/47810/Dragon_Age_Origins__Ultimate_Edition/?snr=1_7_7_240_150_2,"RPG, Fantasy, Story Rich"
122,Total War: WARHAMMER II - Rise of the Tomb Kings,"Win, Mac, Linux",1,1844.0,1844,84,Very Positive,"23 Jan, 2018",2074,"18,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/617870/Total_War_WARHAMMER_II__Rise_of_the_Tomb_Kings/?snr=1_7_7_240_150_2,"Strategy, Action, RTS"
123,Satisfactory,Win,0,120386.0,120386,97,Overwhelmingly Positive,"8 Jun, 2020",1207,"29,99€",0.0,0,"29,99€",Base Building,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_240_150_2,"Base Building, Automation, Open World"
124,Across the Obelisk,"Win, Mac, Linux",1,7418.0,7418,90,Very Positive,"16 Aug, 2022",408,"19,99€",0.0,0,"19,99€",Co-op,https://store.steampowered.com/app/1385380/Across_the_Obelisk/?snr=1_7_7_240_150_2,"Co-op, Roguelike Deckbuilder, Card Game"
125,Dwarf Fortress,"Win, Linux",1,19760.0,19760,95,Overwhelmingly Positive,"6 Dec, 2022",296,"28,99€",0.0,0,"28,99€",Colony Sim,https://store.steampowered.com/app/975370/Dwarf_Fortress/?snr=1_7_7_240_150_2,"Colony Sim, Indie, Pixel Graphics"
126,The Sims™ 3,Win,0,26847.0,26847,86,Very Positive,"27 Jan, 2011",4627,"19,99€",0.0,0,"19,99€",Life Sim,https://store.steampowered.com/app/47890/The_Sims_3/?snr=1_7_7_240_150_2,"Life Sim, Simulation, Character Customization"
127,Limbus Company,Win,0,23126.0,23126,77,Mostly Positive,"26 Feb, 2023",214,0,100.0,1,0,Lore-Rich,https://store.steampowered.com/app/1973530/Limbus_Company/?snr=1_7_7_240_150_2,"Lore-Rich, Story Rich, RPG"
128,Governor of Poker 3,"Win, Mac",1,12753.0,0,0,,"19 Feb, 2016",2778,0,100.0,1,0,Gambling,https://store.steampowered.com/app/436150/Governor_of_Poker_3/?snr=1_7_7_240_150_2,"Gambling, Card Game, Free to Play"
129,Dorfromantik,Win,0,22010.0,22010,97,Overwhelmingly Positive,"28 Apr, 2022",518,"12,99€",100.0,1,0,Turn-Based Strategy,https://store.steampowered.com/app/1455840/Dorfromantik/?snr=1_7_7_240_150_2,"Turn-Based Strategy, City Builder, Puzzle"
130,Arma Reforger,Win,0,7661.0,0,0,,"17 May, 2022",499,"29,99€",0.0,0,"29,99€",Early Access,https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_240_150_2,"Early Access, Action, Simulation"
131,Crusader Kings III: Wards & Wardens,"Win, Mac, Linux",1,334.0,0,0,,"22 Aug, 2023",37,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/2313541/Crusader_Kings_III_Wards__Wardens/?snr=1_7_7_240_150_2,"Strategy, RPG, Simulation"
132,Summoners War: Chronicles,"Win, Mac",1,10402.0,10402,79,Mostly Positive,"9 Nov, 2022",323,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/2167580/Summoners_War_Chronicles/?snr=1_7_7_240_150_2,"Free to Play, RPG, Open World"
133,Command & Conquer™ Remastered Collection,Win,0,26079.0,26079,90,Very Positive,"5 Jun, 2020",1210,"19,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1213210/Command__Conquer_Remastered_Collection/?snr=1_7_7_240_150_2,"Strategy, RTS, Base Building"
134,Mount & Blade II: Bannerlord,Win,0,178188.0,178188,87,Very Positive,"25 Oct, 2022",338,"49,99€",0.0,0,"49,99€",Medieval,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_240_150_2,"Medieval, Strategy, Open World"
135,Little Nightmares,Win,0,37289.0,37289,94,Very Positive,"27 Apr, 2017",2345,"19,99€",0.0,0,"19,99€",Horror,https://store.steampowered.com/app/424840/Little_Nightmares/?snr=1_7_7_240_150_2,"Horror, Atmospheric, Adventure"
136,Steel Division 2 - Men of Steel,Win,0,31.0,31,77,Mostly Positive,"28 Aug, 2023",31,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/2499890/Steel_Division_2__Men_of_Steel/?snr=1_7_7_240_150_2,"Strategy, Action, Indie"
137,OCTOPATH TRAVELER™,Win,0,10576.0,10576,86,Very Positive,"7 Jun, 2019",1574,"59,99€",100.0,1,0,RPG,https://store.steampowered.com/app/921570/OCTOPATH_TRAVELER/?snr=1_7_7_240_150_2,"RPG, JRPG, Pixel Graphics"
138,Jurassic World Evolution 2,Win,0,18083.0,18083,87,Very Positive,"9 Nov, 2021",688,"59,99€",0.0,0,"59,99€",Dinosaurs,https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2/?snr=1_7_7_240_150_2,"Dinosaurs, Building, Simulation"
139,Idle Champions of the Forgotten Realms,"Win, Mac",1,12705.0,12705,78,Mostly Positive,"25 Mar, 2020",1282,0,100.0,1,0,Dungeons & Dragons,https://store.steampowered.com/app/627690/Idle_Champions_of_the_Forgotten_Realms/?snr=1_7_7_240_150_2,"Dungeons & Dragons, Free to Play, Strategy"
140,Terraforming Mars,"Win, Mac",1,4094.0,4094,70,Mostly Positive,"17 Oct, 2018",1807,"19,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/800270/Terraforming_Mars/?snr=1_7_7_240_150_2,"Strategy, Board Game, Space"
141,Train Simulator Classic,Win,0,17096.0,17096,71,Mostly Positive,"17 Sep, 2015",2933,"24,99€",0.0,0,"24,99€",Simulation,https://store.steampowered.com/app/24010/Train_Simulator_Classic/?snr=1_7_7_240_150_2,"Simulation, Trains, Singleplayer"
142,ENDLESS™ Space 2,"Win, Mac",1,15438.0,15438,84,Very Positive,"18 May, 2017",2324,"39,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/392110/ENDLESS_Space_2/?snr=1_7_7_240_150_2,"Strategy, Space, Sci-fi"
143,Automation - The Car Company Tycoon Game,Win,0,9422.0,9422,92,Very Positive,"12 Mar, 2015",3122,"24,99€",0.0,0,"24,99€",Simulation,https://store.steampowered.com/app/293760/Automation__The_Car_Company_Tycoon_Game/?snr=1_7_7_240_150_2,"Simulation, Management, Building"
144,A Total War Saga: TROY,"Win, Mac",1,2237.0,2237,72,Mostly Positive,"2 Sep, 2021",756,"49,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1099410/A_Total_War_Saga_TROY/?snr=1_7_7_240_150_2,"Strategy, Simulation, RTS"
145,Expansion - Hearts of Iron IV: No Step Back,"Win, Mac, Linux",1,2697.0,2697,73,Mostly Positive,"23 Nov, 2021",674,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/1348661/Expansion__Hearts_of_Iron_IV_No_Step_Back/?snr=1_7_7_240_150_2,"Strategy, Simulation, World War II"
146,Call to Arms - Gates of Hell: Ostfront,Win,0,10052.0,10052,82,Very Positive,"11 Jun, 2021",839,"29,99€",0.0,0,"29,99€",World War II,https://store.steampowered.com/app/400750/Call_to_Arms__Gates_of_Hell_Ostfront/?snr=1_7_7_240_150_2,"World War II, Strategy, Real Time Tactics"
147,Stacklands,"Win, Mac",1,20122.0,20122,96,Overwhelmingly Positive,"8 Apr, 2022",538,"7,99€",0.0,0,"7,99€",Card Battler,https://store.steampowered.com/app/1948280/Stacklands/?snr=1_7_7_240_150_2,"Card Battler, Card Game, Management"
148,Two Point Hospital,"Win, Mac, Linux",1,23023.0,23023,92,Very Positive,"29 Aug, 2018",1856,"29,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/535930/Two_Point_Hospital/?snr=1_7_7_240_150_2,"Simulation, Medical Sim, Management"
149,Sniper Elite 4,Win,0,43594.0,43594,91,Very Positive,"13 Feb, 2017",2418,"59,99€",0.0,0,"59,99€",Sniper,https://store.steampowered.com/app/312660/Sniper_Elite_4/?snr=1_7_7_240_150_2,"Sniper, Action, Multiplayer"
150,7 Days to Die,"Win, Mac, Linux",1,190081.0,190081,88,Very Positive,"13 Dec, 2013",3576,"22,99€",0.0,0,"22,99€",Early Access,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_240_150_2,"Early Access, Survival, Zombies"
151,The Elder Scrolls®: Legends™,"Win, Mac",1,10377.0,10377,74,Mostly Positive,"31 May, 2017",2311,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/364470/The_Elder_Scrolls_Legends/?snr=1_7_7_240_150_2,"Free to Play, Card Game, Trading Card Game"
152,Transport Fever 2,"Win, Mac, Linux",1,17766.0,17766,89,Very Positive,"11 Dec, 2019",1387,"39,99€",0.0,0,"39,99€",Simulation,https://store.steampowered.com/app/1066780/Transport_Fever_2/?snr=1_7_7_240_150_2,"Simulation, Strategy, Management"
153,Tom Clancy's Ghost Recon® Wildlands,Win,0,66375.0,66375,80,Very Positive,"6 Mar, 2017",2397,"49,99€",0.0,0,"49,99€",Open World,https://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands/?snr=1_7_7_240_150_2,"Open World, Shooter, Co-op"
154,Kenshi,Win,0,62813.0,62813,95,Overwhelmingly Positive,"6 Dec, 2018",1757,"26,99€",0.0,0,"26,99€",Open World,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_240_150_2,"Open World, Sandbox, RPG"
155,Town of Salem 2,"Win, Mac",1,3191.0,3191,83,Very Positive,"25 Aug, 2023",34,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/2140510/Town_of_Salem_2/?snr=1_7_7_240_150_2,"Free to Play, Social Deduction, Strategy"
156,Mini Motorways,"Win, Mac",1,16673.0,16673,95,Overwhelmingly Positive,"20 Jul, 2021",800,"8,19€",0.0,0,"8,19€",Strategy,https://store.steampowered.com/app/1127500/Mini_Motorways/?snr=1_7_7_240_150_2,"Strategy, Simulation, Casual"
157,Stranded Deep,"Win, Mac, Linux",1,37978.0,37978,75,Mostly Positive,"10 Aug, 2022",414,"15,99€",0.0,0,"15,99€",Open World Survival Craft,https://store.steampowered.com/app/313120/Stranded_Deep/?snr=1_7_7_240_150_2,"Open World Survival Craft, Survival, Multiplayer"
158,Sid Meier's Civilization® VI: Gathering Storm,"Win, Mac, Linux",1,2303.0,0,0,,"13 Feb, 2019",1688,"39,99€",0.0,0,"39,99€",Strategy,https://store.steampowered.com/app/947510/Sid_Meiers_Civilization_VI_Gathering_Storm/?snr=1_7_7_240_150_2,"Strategy, Turn-Based, Grand Strategy"
159,Expansion - Hearts of Iron IV: La Résistance,"Win, Mac, Linux",1,1691.0,0,0,,"25 Feb, 2020",1311,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/1158100/Expansion__Hearts_of_Iron_IV_La_Rsistance/?snr=1_7_7_240_150_2,"Strategy, Simulation, World War II"
160,Heroes® of Might & Magic® III - HD Edition,Win,0,15051.0,15051,78,Mostly Positive,"28 Jan, 2015",3165,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/297000/Heroes_of_Might__Magic_III__HD_Edition/?snr=1_7_7_240_150_2,"Strategy, Turn-Based Strategy, Classic"
161,"Papers, Please","Win, Mac, Linux",1,57385.0,57385,97,Overwhelmingly Positive,"8 Aug, 2013",3703,"8,99€",0.0,0,"8,99€",Indie,https://store.steampowered.com/app/239030/Papers_Please/?snr=1_7_7_240_150_2,"Indie, Political, Simulation"
162,HUMANKIND™ - Together We Rule Expansion Pack,"Win, Mac",1,144.0,0,0,,"9 Nov, 2022",323,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/1833990/HUMANKIND__Together_We_Rule_Expansion_Pack/?snr=1_7_7_240_150_2,Strategy
163,They Are Billions,Win,0,39129.0,39129,85,Very Positive,"18 Jun, 2019",1563,"29,99€",0.0,0,"29,99€",Base Building,https://store.steampowered.com/app/644930/They_Are_Billions/?snr=1_7_7_240_150_2,"Base Building, Colony Sim, Strategy"
164,The Game of Life 2,Win,0,2262.0,2262,80,Very Positive,"11 Dec, 2020",1021,"12,49€",0.0,0,"12,49€",Board Game,https://store.steampowered.com/app/1455630/The_Game_of_Life_2/?snr=1_7_7_240_150_2,"Board Game, Party, Multiplayer"
165,Carrier Command 2,"Win, Mac",1,2319.0,2319,80,Very Positive,"10 Aug, 2021",779,"24,99€",0.0,0,"24,99€",Strategy,https://store.steampowered.com/app/1489630/Carrier_Command_2/?snr=1_7_7_240_150_2,"Strategy, Simulation, Adventure"
166,WARNO,Win,0,5776.0,5776,82,Very Positive,"20 Jan, 2022",616,"39,99€",0.0,0,"39,99€",Early Access,https://store.steampowered.com/app/1611600/WARNO/?snr=1_7_7_240_150_2,"Early Access, Wargame, Military"
167,Oxygen Not Included,"Win, Mac, Linux",1,98043.0,98043,96,Overwhelmingly Positive,"30 Jul, 2019",1521,"22,99€",0.0,0,"22,99€",Colony Sim,https://store.steampowered.com/app/457140/Oxygen_Not_Included/?snr=1_7_7_240_150_2,"Colony Sim, Base Building, Survival"
168,Arma 3 Marksmen,"Win, Mac",1,813.0,813,79,Mostly Positive,"8 Apr, 2015",3095,"8,99€",100.0,1,0,Simulation,https://store.steampowered.com/app/332350/Arma_3_Marksmen/?snr=1_7_7_240_150_2,"Simulation, Action, Strategy"
169,"Warhammer 40,000: Chaos Gate - Daemonhunters",Win,0,7707.0,7707,78,Mostly Positive,"5 May, 2022",511,"44,99€",0.0,0,"44,99€",Warhammer 40K,https://store.steampowered.com/app/1611910/Warhammer_40000_Chaos_Gate__Daemonhunters/?snr=1_7_7_240_150_2,"Warhammer 40K, Turn-Based Strategy, Turn-Based Tactics"
170,Stick Fight: The Game,"Win, Mac",1,90039.0,90039,93,Very Positive,"28 Sep, 2017",2191,"4,99€",100.0,1,0,Multiplayer,https://store.steampowered.com/app/674940/Stick_Fight_The_Game/?snr=1_7_7_240_150_2,"Multiplayer, Funny, Fighting"
171,Total War: WARHAMMER II - The Twisted & The Twilight,"Win, Mac, Linux",1,979.0,979,74,Mostly Positive,"3 Dec, 2020",1029,"9,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/1315750/Total_War_WARHAMMER_II__The_Twisted__The_Twilight/?snr=1_7_7_240_150_2,"Strategy, Action, Violent"
172,Conqueror's Blade,Win,0,27953.0,27953,75,Mostly Positive,"30 May, 2019",1582,0,100.0,1,0,Medieval,https://store.steampowered.com/app/905370/Conquerors_Blade/?snr=1_7_7_240_150_2,"Medieval, Tactical, Strategy"
173,Total War: NAPOLEON – Definitive Edition,"Win, Mac",1,13603.0,13603,90,Very Positive,"25 Feb, 2010",4963,"24,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/34030/Total_War_NAPOLEON__Definitive_Edition/?snr=1_7_7_240_150_2,"Strategy, Historical, Grand Strategy"
174,Foxhole,Win,0,28340.0,28340,82,Very Positive,"28 Sep, 2022",365,"24,99€",0.0,0,"24,99€",Massively Multiplayer,https://store.steampowered.com/app/505460/Foxhole/?snr=1_7_7_240_150_2,"Massively Multiplayer, Wargame, Military"
175,Stellaris: Federations,"Win, Mac, Linux",1,872.0,872,73,Mostly Positive,"17 Mar, 2020",1290,"19,99€",0.0,0,"19,99€",Strategy,https://store.steampowered.com/app/1140001/Stellaris_Federations/?snr=1_7_7_240_150_2,"Strategy, Simulation, Space"
176,Planet Zoo: Tropical Pack,Win,0,56.0,56,83,Very Positive,"4 Apr, 2023",177,"9,99€",100.0,1,0,Casual,https://store.steampowered.com/app/2346830/Planet_Zoo_Tropical_Pack/?snr=1_7_7_240_150_2,"Casual, Simulation, Strategy"
177,Planet Zoo: Arid Animal Pack,Win,0,46.0,46,80,Positive,"20 Jun, 2023",100,"9,99€",100.0,1,0,Strategy,https://store.steampowered.com/app/2436600/Planet_Zoo_Arid_Animal_Pack/?snr=1_7_7_240_150_2,"Strategy, Casual, Simulation"
178,Caves of Qud,"Win, Mac, Linux",1,5789.0,5789,95,Overwhelmingly Positive,"15 Jul, 2015",2997,"16,79€",0.0,0,"16,79€",Early Access,https://store.steampowered.com/app/333640/Caves_of_Qud/?snr=1_7_7_240_150_2,"Early Access, Simulation, Indie"
179,Ultimate Epic Battle Simulator 2,Win,0,3805.0,3805,87,Very Positive,"21 Jul, 2023",69,"16,79€",0.0,0,"16,79€",Simulation,https://store.steampowered.com/app/1468720/Ultimate_Epic_Battle_Simulator_2/?snr=1_7_7_240_150_2,"Simulation, Action, Sandbox"
180,Marvel's Midnight Suns,Win,0,9695.0,9695,81,Very Positive,"1 Dec, 2022",301,"79,99€",100.0,1,0,Superhero,https://store.steampowered.com/app/368260/Marvels_Midnight_Suns/?snr=1_7_7_240_150_2,"Superhero, Turn-Based Tactics, Deckbuilding"
181,Darkest Dungeon®,"Win, Mac, Linux",1,111243.0,111243,91,Very Positive,"19 Jan, 2016",2809,"24,50€",0.0,0,"24,50€",Turn-Based Combat,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_240_150_2,"Turn-Based Combat, Dark Fantasy, Dungeon Crawler"
182,ShellShock Live,"Win, Mac, Linux",1,27331.0,27331,93,Very Positive,"22 May, 2020",1224,"9,75€",100.0,1,0,Tanks,https://store.steampowered.com/app/326460/ShellShock_Live/?snr=1_7_7_240_150_2,"Tanks, Multiplayer, Strategy"
183,Banished,Win,0,35092.0,35092,89,Very Positive,"18 Feb, 2014",3509,"18,99€",0.0,0,"18,99€",City Builder,https://store.steampowered.com/app/242920/Banished/?snr=1_7_7_240_150_2,"City Builder, Colony Sim, Strategy"
184,Pacify,"Win, Mac",1,29106.0,29106,88,Very Positive,"22 Feb, 2019",1679,"9,75€",100.0,1,0,Horror,https://store.steampowered.com/app/967050/Pacify/?snr=1_7_7_240_150_2,"Horror, Multiplayer, Co-op"
185,Peglin,"Win, Mac",1,8753.0,8753,81,Very Positive,"25 Apr, 2022",521,"16,49€",0.0,0,"16,49€",Deckbuilding,https://store.steampowered.com/app/1296610/Peglin/?snr=1_7_7_240_150_2,"Deckbuilding, Roguelite, Pinball"
186,Turmoil,"Win, Mac, Linux",1,9772.0,9772,92,Very Positive,"2 Jun, 2016",2674,"12,99€",100.0,1,0,Mining,https://store.steampowered.com/app/361280/Turmoil/?snr=1_7_7_240_150_2,"Mining, Management, Strategy"
187,Who's Your Daddy?!,"Win, Mac",1,22145.0,22145,80,Very Positive,"13 May, 2016",2694,"9,75€",0.0,0,"9,75€",Funny,https://store.steampowered.com/app/427730/Whos_Your_Daddy/?snr=1_7_7_240_150_2,"Funny, Multiplayer, First-Person"
